SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Pryce, Mrs T.H.	7	1888	3		appointed to Townsville - from Newcastle	son of Minister formerly Maistry S Wales
Windsor Road	7	1888	3		building opened	report page 14
Dinmore BC	7	1888	11		report - Mr Petie moved there - set up	barn and commenced services there
Jenyns, Mr J.	7	1888	12		retires from Sunday School at Fortesque	St BC after 11 yrs.
Marburg BC	7	1888	12		meeting at Ipswich fails to resolve	differences
Brame, Mr	7	1888	14		farewelled from Wharf St for Charters	Towers - formerly member of Barnsley (B.G. Wilson)
Griffith, Rev. E.	8	1888	3		retiring from Congregational Church	after 28 yrs.
Wharf St BC	8	1888	3		farewells T.H. Pryce for Townsville and	A.G. Weller to Gympie under Baptist Home Mission
Wharf St BC	8	1888	3		sale of property for 16,000 pounds	
Pryce, Mr T.H.	8	1888	8		edit - on Home Mission work	Pryce comes from NSW
Warry, Mrs T.S.	8	1888	8	Maryborough	obit	
Warry, T.S.	8	1888	8		death of wife	
Wilson-Cribb	8	1888	13	Sandgate	marriage of B.G. Wilson to Essie Cribb	
Alexander, Mr J.M.	9	1888	13		assisting W. Whale at Wharf St as	replacement for A.G. Weller (6 months - Oct p 13)
Warry, Mrs T.S.	9	1888	13	Maryborough	memorial service	
Evangelist	10	1888	3		new paper The Evangelist published	by W. Whale at Wharf St
Charters Towers BC	10	1888	14		report of progress	
Brame, Mr	11	1888	3		resigned Charters Towers - ill health	
Poole, Rev W - President BAQ	1	1890	2		address	
Bertenshaw, Mrs Phoebe	3	1890	9	City Tab	obit	
Dieckmann, Miss Johanne	6	1890	6	Engelsburg	Obit	
Kingsford, Mrs R.W.	8	1890	8	Jireh	obit	Mrs R.W. - second surviving son of J. Kingsford
Kingsford, Sarah (Mrs R.A.)	10	1890	9	Wharf St - formerly	obit	
Ingram, Richard	12	1890	9		obit	
Young, Rev. W.V. President BAQ	12	1890	14		address	
Buckingham, Rev F.G.	4	1891	2			
Warry, R.S.	4	1891	2	Maryborough, Wharf St	sermon, in memoriam	also page 9
Christian Endeavour - first in Australia	4	1891	43		letter from G.H. Buzacott	
Franz, Frederick Theo	6	1891	2	Hendra		
Swan, James	7	1891	2	Wharf St	obit	also page 6
Franz, Frederick Theo	7	1891	3	Hendra	Obit	original member of Gossner Mission
Swan, James	7	1891	6	City Tab	sermon - in memoriam	
McLeod, James	8	1891	8	Fortesque St, City Tab	obit	
Swan, James - will	9	1891	7			
Nanango	10	1891	2	Nanango	report of deputation	
Leitch, Rev T. - President BAQ	11	1891	9		address	
Sands, Alfred	1	1892	4	Wharf,Edward,Fortesque,Nundah	obit	
Craig, Mrs (nee Julia Ryan)	1	1892	5	Wharf St	Obit	
Cronan, Mrs	1	1892	5	Maryborough	Obit	
Lassig, Ferdinand	2	1892	17	Maryborugh	Obit	pastored German Baptists in Maryborough area
Macalister, Mrs	2	1892	17	Toowong	obit	
Smith, Mrs Hird	3	1892	1	Jireh	obit	
Vigis, Rev T - Lily Ann Jacobs - marriage	3	1892	40		marriage notice	
BMS - letter from Wharf St 1857	4	1892	46		letter	
Zillman, J.L.	4	1892	54	Hendra	obit	one of original Gossner missionaries
Swan, James - will	5	1892	62			
Smith Mr Williamson Munro	5	1892	66	Ipswich, Windsor Rd	obit	
Christian Endeavour	6	1892	72		letters on first society	
Biggs, Mr	7	1892	81	City Tab	death notice - also p 93	
Burtenshaw, Thos.	7	1892	90	City Tab	Obit	
Cooksley, W.J.F.	7	1892	90	City Tab	Obit	Mayor of Sandgate
Smith, Mr W.R. - Miss M. Prideaux - marriage	7	1892	93	City Tab	notice	
Harlen, Mrs S.A.	8	1892	107	City Tab	obit	
Leeson, Mrs Sarah	8	1892	107	Jireh	obit	
Newman, J.	8	1892	107	Petrie Terrace, Windsor Rd	obit	
City Tabernacle BC	9	1892	113	City Tab	photo	
Cray, H.C.	11	1892	145	Wharf St	President of QBA and photo	
Cray, H.C. - President BAQ	11	1892	149		address	
Hendra Baptist Church (Clayfield)	12	1892	1	Hendra (Clayfield)	new church - photo	
Nanango - visit	12	1892	174			by W. Whale
Creamer, Miss Emily	12	1892	176	Maryborough	obit	
Wilson, Rev B.G.	1	1893	1	City Tab	article and photo	
Kingsford, Rev John	3	1893	33	Jireh	article and photo	
Flood 1893	3	1893	34		article and photos	
Aborigines - mission	4	1893	52		article	by C.F. Gerler on early missionary work
Horsfall, Harriet Kate	4	1893	56	City Tab	obit	daughter of Rev W. Whale
Aborigines - mission	5	1893	62		article	by C.F.Gerler (cont)
Doggett, Mrs John	5	1893	69	Jireh	obit	
Aborigines - mission	6	1893	76		article	by C.F. Gerler cont.
Breewood, Rev T. - returns to England	6	1893	79			
Webster, Mrs J.	6	1893	83	South Brisbane	obit	
Whale, Rev W.	7	1893	85		sermon - BAQ	
Cary, H.C. - the diaconate and its duties	9	1893	109		address	
Townsville - an appeal	10	1893	127	Townsville		
Whale, Rev Wm - president BAQ	11	1893	133	City Tab	article and photo	
Wolter, Mr Christopher	11	1893	146	Engelsburg	obit	
Grimes, Mrs Samuel	12	1893	159	South Brisbane	obit	
Ross, Angus	12	1893	159	City Tab	obit	
Plested, Miss Martha	1	1894	2		article and photo page 4	
Oliver, Mr Silvester	1	1894	5	South Brisbane	obit	
Townsville Baptist church - opening	1	1894	7	Townsville		
Allanby, Miss Kate R.	2	1894	17		article and photo	
Bale, Mrs J.L.	2	1894	22	City Tab	obit	came on the Fortitude
Thake, Samuel	2	1894	22	Maryborough	obit	
Stephens, Mrs Arthur	6	1894	70	Maryborough	obit	
Henselin, Mr Gottfried	7	1894	80	Boonah	obit	
Stephen, Arthur	7	1894	83	Maryborough	memorial	
Bell, Elsie Ethel	9	1894	105	Enoggera	obit	
Low, Mrs G.	9	1894	105		obit	
Parker, Mr J	9	1894	105	Hendra	obit	
Collins, Mrs	10	1894	122	Sandgate	obit	
Thompson, Mrs Peter	10	1894	122	Toowoomba	obit	
White, Mr C.F.	10	1894	122	Sandgate	obit	
Thomas, Mrs Mary	12	1894	145	Charters Towers	obit	
Verney, Thomas	12	1894	145	Albion	obit	
Higlett, Rev W. - on Church choirs	1	1895	7			
Cemetery - old Baptist	1	1895	13		letter - W.Moore	
Gerler, C.F.	2	1895	22	Hendra	obit	
Stephens, Mrs John	2	1895	22	Maryborough	obit	
Falkenhagen, Mrs	3	1895	31	Engelsburg	obit	
Femister, Miss Sarah	3	1895	31	City Tab	obit	
Hobbs, Mrs	3	1895	31	Charters Towers	obit	
McPhail, Mrs J.	3	1895	31	Jireh	obit	
Bonser, Rev W. - farewell	4	1895	40			
Sneyd, Rev J.B. president BAQ	10	1895	114		address	
Gillison, Rev J.B.	10	1895	122		obit	ex-Victoria
Walker, John Thomas	10	1895	122	Windsor Rd	obit	
Walker, John Thomas	10	1895	122	Windsor Road	obit	
Council of Churches	11	1895	125			proposed as development of Ministers Union
Vigis, Rev T.	11	1895	126		address to BAQ	
Ladewig, Mrs E.W.	12	1895	148	Windsor Road	obit	
Morrison, Mr James	1	1896	11	Vulture Street	obit	
Hooker, Mrs E.  nee Margaret Jane McCook	2	1896	23	City Tab	obit	
Kanakas, Lower Burdekin Mission	3	1896	27			
Bundaberg - commencement	3	1896	31	Bundaberg		
Renton, Mrs Robert nee Mary Jane Boniface	3	1896	34	Jireh	obit	
Cairns, Mrs	3	1896	35	City Tab	obit	refers to Witton Manor Indooroopilly
Hall, William Percy	4	1896	48	Vulture St	obit	victim of the Pearl disaster
Renton, Mrs Allan B. nee Barge	4	1896	48	Vulture St	obit	
Bale, Mrs Hannah	5	1896	57	Jireh	obit	arrived on the Chaseley
Dummer, Mr Samuel	7	1896	82	Thompson Estate	obit	
Sweet, Mr James A.	7	1896	82	Windsor Road	obit	
Bundaberg BC	8	1896	85	Bundaberg		
Cairns, Rev P.W.	8	1896	85	Bundaberg		
Collins, Mr T.J.	8	1896	92	Vulture St	obit	
Spencer, Mrs	8	1896	92	South Brisbane	obit	
Bundaberg Baptist Church	9	1896	98	Bundaberg		
M'Neil, Rev John	9	1896	104	Victoria	obit	
Sneyd, Rev J.B. President BAQ	10	1896	115		address	
Huxham, Mrs John	10	1896	128	Vulture St	obit	
Ministers with Rev Silas Mead	11	1896	133		photo Alexander Leitch Weller	8 ministers Moore, Sneyd, Whale Kingsford Higlett
Baptists in Queensland - report	11	1896	135			
Renton, Mr Robert	o5	1896	58	Jireh	obit	
Dennis, Mrs John	1	1897	10	City Tab	obit	
Grimes, William Douglas	1	1897	10	City Tab	obit	arrived on Chasely
Preston, Arthur Thomas Osbourn	1	1897	10	City Tab	obit	
Richer, Frederick William	1	1897	10	Toowong	obit	
Washington, Mrs M.P.  nee Mummery	2	1897	24	Vulture St	obit	
Ingram, Mrs J.W.	4	1897	53	Ipswich	obit	
Reick Mrs	6	1897	79	Engelsburg	obit	
Grove, Charles (jun)	9	1897	124	Jireh	obit	
Grove, Mrs	9	1897	124	Jireh	obit	
Keith, Mr J.C. President BAQ	10	1897	130		address	
Erich, Mrs	10	1897	144	Mt Walker	obit	
Muller, John	10	1897	144	Engelsburg	obit	
Ruhland, Mrs	10	1897	144	Mt Walker	obit	
Stewart, Benjamin	10	1897	144	Engelsburg	obit	
Keith, John Cook, President BAQ	11	1897	155		article and photo	
Howarth, Mr	12	1897	171	Toowong	obit	
Poole, Rev Wm.	1	1898	7			
Spence, Mrs	1	1898	11	City Tab	obit	last non-Baptist from 1855 ex UEC
Weller, Rev Alfred George	2	1898	21			
Makin, Rev. E.R.	3	1898	35			
Fraser, Mr and Mrs W.	3	1898	39	South Brisbane	Obit	
Fraser, Mrs W.	3	1898	39	South Brisbane	obit	
Kemp, Mrs	3	1898	39	City Tab, Petrie Terrace	obit	
Moller, Henry Frederick	3	1898	39	Engelsburg	obit	
Wakefield, Mrs Hiram	3	1898	39	City Tab	obit	
Wakefield, Mrs Hiram	3	1898	39	City Tab	obit	
Vigis, Rev Thomas	4	1898	49			
Krueger, Rev Carl	5	1898	63			
Wissman, Mrs	5	1898	68	Bundaberg	obit	
Sneyd, Rev John Braidwood	6	1898	77			
Garlieb, Theodor	6	1898	81	Engelsburg	obit	
Johnson, Mrs John	6	1898	81	Bulimba	obit	
Kleist, Mrs	6	1898	81	Mt Walker	obit	
Boyall, Rev Charles	7	1898	91			
Fraser W, and Mrs W	7	1898	94	South Brisbane	Obit	
Glover, Rev John	8	1898	105			
Higlett, Rev William	9	1898	119			
Bickmore, Isaac James	9	1898	124	Jireh	Obit	
Ind, Samuel Henry	9	1898	124	Charters Towers	obit	
Buckingham, Rev F.G.	10	1898	135			
Alexander, Rev J.M.	11	1898	151			
Leitch, Rev Thomas	12	1898	165			
Page, Rev William	1	1899	7	Taringa	article and photo	
Bell, William	1	1899	9	City Tab, Enoggera	Obit	
Richer, Rev Wm	2	1899	21		article and photo	
Ministers of the BAQ	3	1899	28		photos of all ministers	
Whale, Rev Wm - farewell	3	1899	34	City Tab		
Moreton Island	3	1899	36			
Coombs, Rev Henry	4	1899	48	City Tab	article and photo	
Makin, Rev. E.R.	5	1899	62		obit and photo	
Poole, Rev Wm.	5	1899	65		minute	on retirement as QB - Qld Baptist editor
Shaw, Rev Alfred Duncan	6	1899	77	Nundah	article and photo	
Webster, Thomas	6	1899	80	Windsor Rd	obit	
United Evangelical Church UEC	7	1899	91		article and photo	
Dennis, George	7	1899	93	South Brisbane	Obit	
Gerrard, Mrs T.S./Mrs James Kirkwood	7	1899	93	Ipswich	obit	widow of Rev T.S. Gerrard
Kingsford, Rev John - retirement	8	1899	105	Jireh	article and photo	letters also on page 108
Alick, John	8	1899	109	Jireh	Obit	
Butterfield, Mrs Albert	8	1899	109	Jireh	Obit	
Kirwood, Rev E.A.	9	1899	119	Jireh	article and photo	
Toowoomba Baptist Church - visit	9	1899	119			by W. Higlett
Lax, James	9	1899	122	Windsor Rd	obit	
Buckingham, Rev F.G. President BAQ	10	1899	128		address	retiring presidential address
Webster, Mr David, President BAQ	10	1899	130		address	presidential address
Webster, David	10	1899	137	Sth Brisbane	president, BAQ and photo	
Petty, Richard George	10	1899	145	City Tab	obit	
Pinkenba church	11	1899	152	Pinkenba		
Wharf Street Baptist Church	11	1899	155	Wharf Street	article and photo	first Baptist church in Brisbane
Buckingham, Rev F.C. - address	11	1899	156		address - conc.	
Cairns, Thomas	11	1899	159	City Tab	Obit	
Doggett, John	11	1899	189	Jireh	Obit	
Wharf Street Baptist Church - demolished	12	1899	169	Wharf Street	article and photo	
Rose, Rev C.S.	1	1900	2	Charters Towers	letter	
Rose, Rev C.S. - welcome	1	1900	6	Charters Towers		
United Evangelical Church UEC	1	1900	6		photo	
Wharf Street Baptist Church	1	1900	6		photos of development	
Rose, Rev C.S. - welcome	2	1900	17	Charters Towers		
Taylor, Rev Wm - welcome	2	1900	17	Petrie Terrace		
Cray, H.C.	2	1900	21	Wharf St	tribute and photo	
Bennett, Arthur George	2	1900	25	Windsor Rd	Obit	
Simmonds, Walter	2	1900	25		obit	Baptist Preachers Society
Skinner, Thomas	2	1900	25	Windsor Rd	obit	
Rose, Rev C.S.	3	1900	35	Charters Towers	article and photo	
Heit, Alfred, George Peter	3	1900	39	Engelsburg	obit	
Krueger, Mrs Carl nee Johanna Lobegeir	3	1900	39	Engelsburg	obit	wife of Rev Carl Kruger
Weller, Rev A.G. - welcome	4	1900	46	Toowoomba		
Taylor, Rev William	4	1900	49	Petrie Terraca	article and photo	
Baptist Association - Half-yearly meetings	5	1900	63	Toowoomba, Koojarewon	photo and article	
Ipswich Baptist Church	6	1900	77	Ipswich	article and photo	
Jireh Baptist Church	7	1900	91	Jireh	article and photo	
Young, REv Wiliam Vicars	8	1900	105	Ipswich	obit and photo	
Rockhampton Baptist Church	9	1900	119	Rockhampton	article and photo	
Page, Rev Wm - farewell Enoggera	10	1900	140	Enoggera		
Cochrane, Alexander	10	1900	141	Jireh	Obit	
Boyall, Rev C. - president BAQ	11	1900	151		address	
Petrie Terrace Baptist Church	11	1900	151	Petrie Terrace	article and photo	
Albion Baptist Church	12	1900	165	Albion	article and photo	
Downes, Mrs M.A.	12	1900	169	Jireh	Obit	
Baptist Churches -	1	1901	6		photo sheet - supplement	Ipswich, Rockhampton, Jireh, Albion
Bensted, William R.A.	1	1901	6		death notice	
Horsfall, Mrs J.G.	1	1901	11	Windsor Rd	obit	
Poole, Mrs W	1	1901	11	South Brisbane	obit	wife of Rev. W. Poole
Ipswich Baptist School Hall	2	1901	21	Ipswich	article and photo	
Bensted, W.R.A.	2	1901	26	Windsor Rd	Obit	
Stibbe, Mrs H.	2	1901	26	Engelsburg	obit	
Cole, Rev J.H.	3	1901	30		comment	on open/close membership
Windsor Road Baptist Church	3	1901	35	Windsor Road	article and photo	
Brooks, Mrs B.	3	1901	39	South Brisbane	Obit	
Cooper, Mrs George	3	1901	39	City Tab	Obit	
Thorne, E.V.	3	1901	39	Toowong	obit	
Council of Churches	4	1901	45			
Toowoomba Baptist Church	4	1901	49	Toowoomba	article and photo	
Toowoomba Baptist Church - visit	4	1901	51	Toowoomba		visit by W. Higlett
Paterson, Mr A. - MHR	5	1901	57			
Enoggera Baptist Church	5	1901	63	Enoggera	article and photo	
Enoggera Baptist Church - constitution	5	1901	65	Enoggera		
Farnsworth, Mrs S.	6	1901	81	South Brisbane	Obit	
Sandgate Baptist Church	8	1901	105	Sandgate	article and photo	
German Baptists	8	1901	108			
Toowong Baptist Church	9	1901	119	Toowong	article and photo	
Young, Rev W.V - memorial	9	1901	121	Ipswich		
Morris, Rev Matthew	9	1901	123	Hendra	obit	
Grimes, Arthur Aucott	10	1901	133	Jireh	portait of president, photo	
Morris, Rev Matthew	10	1901	142	Hendra	in memoriam	
Voller, Rev James	11	1901	151		obit and photo	also page 154 - long article
Pinkenba Mission	12	1901	162			
Taringa Union Baptist Church	12	1901	165	Taringa	article and photo	
Low, William George	12	1901	167	Jireh	obit	
Hansen, Peter	12	1901	168	Thompson Estate	obit	
Webster, John	12	1901	168	South Brisbane	obit	
Jenner, Gottlieb	12	1901	169	Boonah	obit	
Higlett, Rev W.	1	1902	3	Albion		
Vulture St Baptist Church	1	1902	7	Vulture St	article and photo	
Queensland Baptist College - rules	1	1902	8			
Matthews, Henry Waldo	1	1902	10	Charters Towers	obit	
McNab, Mrs A.	1	1902	10		obit	
Wolter, Friedrich Christine	1	1902	10	Mt Walker ?	obit	
Higlett, Rev W. - farewell	2	1902	16	Albion		
Pinkenba Mission Church	2	1902	21	Pinkenba	article and photo	
Kingsford, Richard Ash	2	1902	24	Wharf St, South Brisbane	obit	
Elliott, Rev Howard Leslie	3	1902	35	Hendra	article and photo	
Warren, Mrs C.H.J.	3	1902	38	Charters Towers	obit	
Maryborough Baptist Church	4	1902	49	Maryborough	article and photo	
England, Francis	4	1902	52	City Tab	obit	
Broadfoot, William	4	1902	53	Toowoomba	Obit	
Townsville Baptist Church	5	1902	63	Townsville	article and photo	
Cray, H.C.	5	1902	66	Wharf St	obit	sermon on p 59
German Baptist Conference	5	1902	66			
Schmidt, Mrs Justine	5	1902	66	Mt Walker	obit	
Ipswich Baptist Church	7	1902	91	Ipswich	photo - interior	
Bilbrough, James	7	1902	93	Taringa	Obit	
Grimes, Samuel	7	1902	94	South Brisbane	obit	MLA
Dobbs, Samuel	8	1902	103	Rockhampton	Obit	
Gympie Baptist Church	8	1902	105	Gympie	article and photo	
Buckingham, Mrs F.G.	8	1902	108	Ipswich	Obit	
West, Miss Lily	8	1902	108	Hendra	obit	
Mount Morgan Baptist Church	9	1902	119	Mount Morgan	article and photo	
I'Erson, Rev T.W.	9	1902	123		obit	
Cray, H.C.	10	1902	133	Wharf St		
Albion Baptist Church	10	1902	135	Albion	article and photos	
Daniel, Henry	10	1902	141	Petrie Terrace	Obit	
Denham, J.G.	10	1902	141	Ipswich, South Brisbane	Obit	
Heit, Alfred, George Peter	10	1902	141	Engelsburg	obit	
Low, William, George	10	1902	141	Jireh	obit	
Wolter, Friedrich Christine	10	1902	141	Mt Walker?	obit	Christine, mother of F.
Voller, Mrs James	11	1902	145		death notice	
Oliver, Mrs nee Kent	11	1902	155	South Brisbane	obit	
Hendra Baptist Church	12	1902	165	Hendra	article and photo	
Bowering, J.	12	1902	167	Petrie Terrace	Obit	
Korner, Jacob	1	1903	9	Engelsburg	Obit	
Krueger, Mrs Elizabeth	1	1903	9	Engelsburg	obit	mother of pastor Kreuger
Oram, Charles	1	1903	9	Jireh	obit	
Price, Mr S.	2	1903	16			
Buckingham, Rev F.G.- removal	2	1903	17			
Groves, Sydney	2	1903	23	City Tab	obit	
Price, Septimus	2	1903	23	City Tab	obit	
Baptist Association of Qld	3	1903	30		proposal for a Yearbook	
Christian Endeavour	3	1903	31		formation of Baptist Association	Christian Endeavour CE committee
Home Mission	3	1903	34		paper by Rev. W. Richer on the	Queensland field for Baptist Home Mission
